Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,AvgH,AvgD,AvgA,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,FTR,Avg>2.5,Avg<2.5,SHG,SAG
B1,2022-07-22,Standard,Gent,2.0,2.0,1.0,0.0,H,4.07,3.53,1.88,14.0,13.0,7.0,25.0,3.0,9.0,2.0,12.0,5.0,2.0,1.0,0.0,D,1.97,1.82,1.0,2.0
B1,2022-07-23,Charleroi,Eupen,3.0,1.0,1.0,0.0,H,1.67,4.05,4.59,10.0,12.0,12.0,8.0,5.0,7.0,2.0,1.0,2.0,1.0,0.0,0.0,H,1.63,2.23,2.0,1.0
B1,2022-07-23,Kortrijk,Oud-Heverlee Leuven,0.0,2.0,0.0,0.0,D,2.39,3.51,2.79,14.0,13.0,15.0,19.0,2.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,A,1.64,2.22,0.0,2.0
B1,2022-07-23,St Truiden,St. Gilloise,1.0,1.0,1.0,0.0,H,3.98,3.48,1.91,9.0,11.0,11.0,14.0,3.0,3.0,0.0,5.0,1.0,4.0,0.0,0.0,D,1.99,1.79,0.0,1.0
B1,2022-07-23,Waregem,Seraing,2.0,0.0,0.0,0.0,D,2.2,3.58,3.03,14.0,17.0,18.0,2.0,8.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,H,1.75,2.05,2.0,0.0
B1,2022-07-24,Anderlecht,Oostende,2.0,0.0,1.0,0.0,H,1.27,5.73,9.61,9.0,8.0,13.0,8.0,3.0,1.0,7.0,5.0,0.0,4.0,0.0,1.0,H,1.53,2.46,1.0,0.0
B1,2022-07-24,Club Brugge,Genk,3.0,2.0,1.0,1.0,D,1.74,4.1,4.08,7.0,17.0,15.0,16.0,5.0,10.0,4.0,3.0,1.0,2.0,0.0,0.0,H,1.45,2.65,2.0,1.0
B1,2022-07-24,Mechelen,Antwerp,0.0,2.0,0.0,2.0,A,2.61,3.56,2.5,10.0,9.0,13.0,9.0,2.0,3.0,6.0,2.0,1.0,1.0,0.0,0.0,A,1.57,2.34,0.0,0.0
B1,2022-07-24,Westerlo,Cercle Brugge,2.0,0.0,1.0,0.0,H,2.56,3.32,2.68,12.0,20.0,18.0,4.0,8.0,0.0,3.0,4.0,1.0,5.0,0.0,1.0,H,1.87,1.91,1.0,0.0
E1,2022-07-29,Huddersfield,Burnley,0.0,1.0,0.0,1.0,A,2.95,3.2,2.5,13.0,10.0,2.0,16.0,0.0,7.0,1.0,5.0,1.0,2.0,0.0,0.0,A,2.2,1.67,0.0,0.0
