Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,Team
1,2024-08-17,Matchweek 1,Home,Kai Havertz,Wolves,Y,0.14,0.73,Head,9,25,0-0,José Sá,Bukayo Saka,Bukayo Saka,Pass (Live),Oleksandr Zinchenko,Pass (Live),,Arsenal
2,2024-08-17,Matchweek 1,Home,Bukayo Saka,Wolves,Y,0.03,0.23,Left Foot,17,74,1-0,José Sá,Kai Havertz,Kai Havertz,Pass (Live),Thomas Partey,Pass (Dead),,Arsenal
3,2024-08-24,Matchweek 2,Away,Leandro Trossard,Aston Villa,N,0.13,0.38,Right Foot,13,67,0-0,Emiliano Martínez,,Martin Ødegaard,Pass (Live),Bukayo Saka,Pass (Live),,Arsenal
4,2024-08-24,Matchweek 2,Away,Thomas Partey,Aston Villa,Y,0.07,0.23,Right Foot,21,77,1-0,Emiliano Martínez,Bukayo Saka,Bukayo Saka,Pass (Live),Leandro Trossard,Pass (Live),,Arsenal
5,2024-08-31,Matchweek 3,Home,Kai Havertz,Brighton,Y,0.57,0.25,Left Foot,25,38,0-0,Bart Verbruggen,Bukayo Saka,Bukayo Saka,Pass (Live),Jurriën Timber,Pass (Live),,Arsenal
6,2024-09-15,Matchweek 4,Away,Gabriel Magalhães,Tottenham,Y,0.23,0.41,Head,4,64,0-0,Guglielmo Vicario,Bukayo Saka,Bukayo Saka,Pass (Dead),Bukayo Saka,Shot,,Arsenal
7,2024-09-22,Matchweek 5,Away,Riccardo Calafiori,Manchester City,Y,0.02,0.28,Left Foot,25,22,0-1,Ederson,Gabriel Martinelli,Gabriel Martinelli,Pass (Live),Thomas Partey,Pass (Dead),,Arsenal
8,2024-09-22,Matchweek 5,Away,Gabriel Magalhães,Manchester City,Y,0.32,0.97,Head,2,45+1,1-1,Ederson,Bukayo Saka,Bukayo Saka,Pass (Dead),Bukayo Saka,Pass (Live),,Arsenal
9,2024-09-28,Matchweek 6,Home,Gabriel Martinelli,Leicester City,Y,0.20,0.83,Right Foot,15,20,0-0,Mads Hermansen,Jurriën Timber,Jurriën Timber,Pass (Live),Bukayo Saka,Pass (Live),,Arsenal
10,2024-09-28,Matchweek 6,Home,Leandro Trossard,Leicester City,Y,0.60,0.98,Right Foot,11,45+1,1-0,Mads Hermansen,Gabriel Martinelli,Gabriel Martinelli,Pass (Live),Declan Rice,Pass (Live),,Arsenal
11,2024-09-28,Matchweek 6,Home,Wilfred Ndidi(OG),Leicester City,Y,,,,,90+4,2-2,Mads Hermansen,,,,,,Own Goal,Arsenal
12,2024-09-28,Matchweek 6,Home,Kai Havertz,Leicester City,Y,0.89,1.00,Other,2,90+9,3-2,Mads Hermansen,,Gabriel Jesus,Shot,,,,Arsenal
13,2024-10-05,Matchweek 7,Home,Kai Havertz,Southampton,Y,0.13,0.52,Left Foot,18,58,0-1,Aaron Ramsdale,Bukayo Saka,Bukayo Saka,Pass (Live),,,,Arsenal
14,2024-10-05,Matchweek 7,Home,Gabriel Martinelli,Southampton,N,0.41,0.55,Left Foot,2,68,1-1,Aaron Ramsdale,Bukayo Saka,Bukayo Saka,Pass (Live),Thomas Partey,Pass (Live),Volley,Arsenal
15,2024-10-05,Matchweek 7,Home,Bukayo Saka,Southampton,Y,0.06,0.29,Right Foot,15,88,2-1,Aaron Ramsdale,,,,,,,Arsenal
16,2024-10-27,Matchweek 9,Home,Bukayo Saka,Liverpool,Y*,0.17,0.71,Left Foot,9,9,0-0,Caoimhín Kelleher,Ben White,Bukayo Saka,Take-On,Ben White,Pass (Live),,Arsenal
17,2024-10-27,Matchweek 9,Home,Mikel Merino,Liverpool,Y,0.38,0.88,Head,7,43,1-1,Caoimhín Kelleher,Declan Rice,Declan Rice,Pass (Dead),Thomas Partey,Fouled,,Arsenal
1,2024-08-17,Matchweek 1,Away,Amadou Onana,West Ham,Y,0.55,0.94,Head,3,4,0-0,Alphonse Areola,Youri Tielemans,Youri Tielemans,Pass (Dead),,,,Aston Villa
2,2024-08-17,Matchweek 1,Away,Jhon Durán,West Ham,N,0.15,0.14,Left Foot,14,79,1-1,Alphonse Areola,Jacob Ramsey,Jacob Ramsey,Pass (Live),Ian Maatsen,Pass (Live),,Aston Villa
3,2024-08-31,Matchweek 3,Away,Amadou Onana,Leicester City,Y,0.39,0.98,Left Foot,5,28,0-0,Mads Hermansen,Ollie Watkins,Ollie Watkins,Shot,,,,Aston Villa
4,2024-08-31,Matchweek 3,Away,Jhon Durán,Leicester City,N,0.15,0.65,Head,8,63,1-0,Mads Hermansen,Lucas Digne,Lucas Digne,Pass (Live),Jacob Ramsey,Pass (Live),,Aston Villa
5,2024-09-14,Matchweek 4,Home,Ollie Watkins,Everton,Y,0.41,0.96,Head,2,36,0-2,Jordan Pickford,Lucas Digne,Lucas Digne,Pass (Live),Amadou Onana,Pass (Live),Deflected,Aston Villa
6,2024-09-14,Matchweek 4,Home,Ollie Watkins,Everton,Y,0.13,0.43,Right Foot,10,58,1-2,Jordan Pickford,,Pau Torres,Pass (Live),Ross Barkley,Pass (Live),,Aston Villa
7,2024-09-14,Matchweek 4,Home,Jhon Durán,Everton,N,0.02,0.31,Left Foot,32,76,2-2,Jordan Pickford,Ross Barkley,Ross Barkley,Pass (Live),Youri Tielemans,Pass (Live),,Aston Villa
8,2024-09-21,Matchweek 5,Home,Ollie Watkins,Wolves,Y,0.13,0.39,Right Foot,8,73,0-1,Sam Johnstone,Morgan Rogers,Morgan Rogers,Pass (Live),,,Deflected,Aston Villa
9,2024-09-21,Matchweek 5,Home,Ezri Konsa,Wolves,Y,0.21,0.37,Right Foot,4,88,1-1,Sam Johnstone,Youri Tielemans,Youri Tielemans,Pass (Live),Ian Maatsen,Pass (Live),Volley,Aston Villa
10,2024-09-21,Matchweek 5,Home,Jhon Durán,Wolves,N,0.87,1.00,Left Foot,8,90+4,2-1,Sam Johnstone,Morgan Rogers,Morgan Rogers,Pass (Live),Ian Maatsen,Pass (Live),,Aston Villa
11,2024-09-29,Matchweek 6,Away,Morgan Rogers,Ipswich Town,Y,0.13,0.70,Right Foot,17,15,0-1,Arijanet Muric,Ollie Watkins,Ollie Watkins,Pass (Live),Morgan Rogers,Pass (Live),,Aston Villa
12,2024-09-29,Matchweek 6,Away,Ollie Watkins,Ipswich Town,Y,0.40,0.42,Head,5,32,1-1,Arijanet Muric,Leon Bailey,Leon Bailey,Pass (Live),Ezri Konsa,Pass (Live),,Aston Villa
13,2024-10-19,Matchweek 8,Away,Morgan Rogers,Fulham,Y,0.04,0.33,Right Foot,27,9,0-1,Bernd Leno,Jacob Ramsey,Jacob Ramsey,Pass (Live),Youri Tielemans,Pass (Live),Deflected,Aston Villa
14,2024-10-19,Matchweek 8,Away,Ollie Watkins,Fulham,Y,0.08,0.19,Head,10,59,1-1,Bernd Leno,Youri Tielemans,Youri Tielemans,Pass (Dead),Pau Torres,Shot,,Aston Villa
15,2024-10-19,Matchweek 8,Away,Issa Diop(OG),Fulham,N,,,,,69,2-1,Bernd Leno,,,,,,Own Goal,Aston Villa
16,2024-10-26,Matchweek 9,Home,Ross Barkley,Bournemouth,N,0.20,0.55,Right Foot,5,76,0-0,Mark Travers,Leon Bailey,Leon Bailey,Pass (Live),Ian Maatsen,Pass (Live),,Aston Villa
1,2024-08-17,Matchweek 1,Away,Antoine Semenyo,Nott'ham Forest,Y,0.30,0.51,Left Foot,4,86,0-1,Matz Sels,,Justin Kluivert,Pass (Live),Milos Kerkez,Pass (Live),Volley,Bournemouth
2,2024-08-25,Matchweek 2,Home,Marcus Tavernier,Newcastle Utd,Y,0.82,0.99,Right Foot,4,37,0-0,Nick Pope,Antoine Semenyo,Antoine Semenyo,Pass (Live),,,,Bournemouth
3,2024-08-31,Matchweek 3,Away,Antoine Semenyo,Everton,Y,0.46,0.77,Right Foot,4,87,0-2,Jordan Pickford,Dango Ouattara,Dango Ouattara,Pass (Live),Justin Kluivert,Pass (Live),Volley,Bournemouth
4,2024-08-31,Matchweek 3,Away,Lewis Cook,Everton,Y*,0.19,0.91,Head,6,90+2,1-2,Jordan Pickford,Luis Sinisterra,Luis Sinisterra,Pass (Live),Marcus Tavernier,Pass (Live),,Bournemouth
5,2024-08-31,Matchweek 3,Away,Luis Sinisterra,Everton,N,0.33,0.21,Head,5,90+6,2-2,Jordan Pickford,Justin Kluivert,Justin Kluivert,Pass (Live),Marcus Tavernier,Pass (Live),,Bournemouth
6,2024-09-30,Matchweek 6,Home,Evanilson,Southampton,Y,0.27,0.59,Right Foot,11,17,0-0,Aaron Ramsdale,Marcus Tavernier,Marcus Tavernier,Pass (Dead),Antoine Semenyo,Fouled,Volley,Bournemouth
7,2024-09-30,Matchweek 6,Home,Dango Ouattara,Southampton,Y,0.42,0.61,Left Foot,8,32,1-0,Aaron Ramsdale,Lewis Cook,Lewis Cook,Shot,,,,Bournemouth
8,2024-09-30,Matchweek 6,Home,Antoine Semenyo,Southampton,Y,0.06,0.21,Right Foot,17,39,2-0,Aaron Ramsdale,Lewis Cook,Antoine Semenyo,Take-On,Lewis Cook,Pass (Live),,Bournemouth
9,2024-10-19,Matchweek 8,Home,Ryan Christie,Arsenal,N,0.11,0.46,Left Foot,15,70,0-0,David Raya,Justin Kluivert,Justin Kluivert,Pass (Live),Lewis Cook,Pass (Dead),,Bournemouth
10,2024-10-19,Matchweek 8,Home,Justin Kluivert,Arsenal,N,0.79,0.80,Right Foot,13,79,1-0,David Raya,,Evanilson,Fouled,,,,Bournemouth
11,2024-10-26,Matchweek 9,Away,Evanilson,Aston Villa,N,0.04,0.38,Head,13,90+6,0-1,Emiliano Martínez,Marcus Tavernier,Marcus Tavernier,Pass (Dead),Marcus Tavernier,Fouled,,Bournemouth
1,2024-08-18,Matchweek 1,Home,Bryan Mbeumo,Crystal Palace,Y,0.09,0.35,Left Foot,12,29,0-0,Dean Henderson,Yoane Wissa,Yoane Wissa,Pass (Live),Christian Nørgaard,Pass (Live),,Brentford
2,2024-08-18,Matchweek 1,Home,Yoane Wissa,Crystal Palace,Y,0.94,0.97,Left Foot,3,76,1-1,Dean Henderson,,Nathan Collins,Shot,,,,Brentford
3,2024-08-31,Matchweek 3,Home,Bryan Mbeumo,Southampton,Y,0.33,0.97,Left Foot,11,43,0-0,Aaron Ramsdale,,Kevin Schade,Shot,,,,Brentford
