Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,HomeResult,AwayResult
Belgian Pro,2021-07-23,Standard,Genk,1,1,D,0.0,0.0,D,17.0,17.0,5.0,5.0,11.0,8.0,7.0,3.0,1.0,2.0,0.0,0.0,1.59,2.33,D,D
Belgian Pro,2021-07-24,Oostende,Charleroi,0,3,W,0.0,1.0,A,11.0,10.0,3.0,6.0,13.0,9.0,9.0,2.0,3.0,1.0,0.0,0.0,1.8,2.0,L,W
Belgian Pro,2021-07-24,Oud-Heverlee Leuven,Waregem,1,1,D,1.0,1.0,D,13.0,10.0,4.0,4.0,12.0,17.0,0.0,4.0,5.0,6.0,0.0,1.0,1.66,2.19,D,D
Belgian Pro,2021-07-24,Kortrijk,Seraing,2,0,L,1.0,0.0,H,9.0,9.0,4.0,4.0,16.0,15.0,2.0,1.0,4.0,2.0,0.0,0.0,1.8,2.0,W,L
Belgian Pro,2021-07-25,Mechelen,Antwerp,3,2,L,0.0,1.0,A,18.0,10.0,9.0,5.0,12.0,10.0,13.0,2.0,2.0,2.0,0.0,0.0,1.72,2.1,W,L
Belgian Pro,2021-07-25,Club Brugge,Eupen,2,2,D,0.0,0.0,D,21.0,13.0,11.0,5.0,9.0,14.0,10.0,3.0,3.0,6.0,0.0,0.0,1.48,2.6,D,D
Belgian Pro,2021-07-25,Anderlecht,St. Gilloise,1,3,W,1.0,1.0,D,9.0,8.0,2.0,5.0,11.0,7.0,4.0,2.0,3.0,3.0,0.0,0.0,1.77,2.03,L,W
Belgian Pro,2021-07-25,St Truiden,Gent,2,1,L,1.0,1.0,D,6.0,12.0,2.0,4.0,12.0,6.0,1.0,8.0,2.0,1.0,0.0,0.0,1.78,2.02,W,L
Belgian Pro,2021-07-27,Beerschot VA,Cercle Brugge,0,1,W,0.0,1.0,A,,,,,,,,,1.0,1.0,0.0,0.0,1.82,1.98,L,W
Belgian Pro,2021-07-30,Genk,Oostende,3,4,W,2.0,1.0,H,25.0,16.0,9.0,7.0,2.0,12.0,9.0,5.0,0.0,1.0,0.0,0.0,1.56,2.39,L,W
Scottish Prem,2021-07-31,Hearts,Celtic,2,1,L,1.0,0.0,H,11.0,19.0,4.0,7.0,4.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,1.83,1.97,W,L
Scottish Prem,2021-07-31,Rangers,Livingston,3,0,L,1.0,0.0,H,18.0,2.0,8.0,0.0,8.0,14.0,7.0,1.0,0.0,5.0,0.0,0.0,1.66,2.21,W,L
Scottish Prem,2021-07-31,Ross County,St Johnstone,0,0,D,0.0,0.0,D,4.0,10.0,0.0,2.0,19.0,14.0,0.0,4.0,4.0,1.0,0.0,0.0,2.25,1.64,D,D
Belgian Pro,2021-07-31,Seraing,Mechelen,1,0,L,1.0,0.0,H,10.0,10.0,4.0,4.0,17.0,13.0,6.0,6.0,3.0,3.0,0.0,0.0,1.72,2.11,W,L
Belgian Pro,2021-07-31,Eupen,Anderlecht,1,1,D,1.0,1.0,D,14.0,10.0,5.0,3.0,11.0,9.0,3.0,2.0,1.0,1.0,0.0,0.0,1.81,1.99,D,D
Belgian Pro,2021-07-31,Cercle Brugge,Oud-Heverlee Leuven,1,1,D,0.0,1.0,A,17.0,10.0,3.0,1.0,21.0,8.0,2.0,3.0,3.0,1.0,0.0,0.0,1.7,2.13,D,D
Belgian Pro,2021-07-31,Charleroi,St Truiden,0,0,D,0.0,0.0,D,10.0,7.0,0.0,3.0,12.0,16.0,6.0,5.0,2.0,4.0,0.0,0.0,1.82,1.97,D,D
Scottish Prem,2021-07-31,Dundee,St Mirren,2,2,D,1.0,1.0,D,11.0,14.0,4.0,5.0,13.0,14.0,8.0,11.0,2.0,2.0,1.0,0.0,2.16,1.69,D,D
Scottish Prem,2021-08-01,Aberdeen,Dundee United,2,0,L,1.0,0.0,H,7.0,5.0,3.0,1.0,12.0,17.0,5.0,4.0,1.0,3.0,0.0,0.0,2.31,1.6,W,L
Scottish Prem,2021-08-01,Motherwell,Hibernian,2,3,W,2.0,1.0,H,9.0,14.0,5.0,5.0,21.0,11.0,2.0,4.0,5.0,3.0,0.0,0.0,2.13,1.7,L,W
Belgian Pro,2021-08-01,Gent,Beerschot VA,2,2,D,1.0,0.0,H,24.0,11.0,5.0,7.0,8.0,13.0,7.0,8.0,1.0,0.0,0.0,0.0,1.63,2.24,D,D
Belgian Pro,2021-08-01,Antwerp,Kortrijk,0,1,W,0.0,0.0,D,13.0,13.0,3.0,5.0,11.0,9.0,6.0,5.0,2.0,5.0,0.0,0.0,1.83,1.97,L,W
Belgian Pro,2021-08-01,Waregem,Standard,1,2,W,0.0,0.0,D,17.0,16.0,3.0,5.0,11.0,19.0,5.0,6.0,2.0,4.0,0.0,0.0,1.67,2.17,L,W
Belgian Pro,2021-08-01,St. Gilloise,Club Brugge,0,1,W,0.0,0.0,D,14.0,13.0,3.0,6.0,12.0,14.0,2.0,7.0,2.0,2.0,0.0,0.0,1.68,2.15,L,W
Championship,2021-08-06,Bournemouth,West Brom,2,2,D,1.0,1.0,D,7.0,15.0,4.0,5.0,11.0,13.0,4.0,8.0,1.0,3.0,0.0,0.0,2.06,1.77,D,D
Ligue 1,2021-08-06,Monaco,Nantes,1,1,D,1.0,1.0,D,15.0,5.0,3.0,1.0,6.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,1.67,2.23,D,D
Portugal Prem,2021-08-06,Sp Lisbon,Vizela,3,0,L,0.0,0.0,D,15.0,6.0,5.0,1.0,9.0,16.0,3.0,5.0,1.0,3.0,0.0,0.0,1.75,2.08,W,L
Belgian Pro,2021-08-06,Club Brugge,Cercle Brugge,1,1,D,1.0,0.0,H,12.0,5.0,3.0,1.0,11.0,11.0,7.0,0.0,2.0,4.0,0.0,0.0,1.51,2.51,D,D
Ligue 1,2021-08-07,Lyon,Brest,1,1,D,0.0,1.0,A,17.0,13.0,4.0,8.0,10.0,12.0,9.0,4.0,1.0,1.0,0.0,0.0,1.37,3.1,D,D
Championship,2021-08-07,Bristol City,Blackpool,1,1,D,1.0,0.0,H,11.0,7.0,2.0,1.0,10.0,13.0,2.0,4.0,2.0,0.0,0.0,0.0,2.17,1.7,D,D
Championship,2021-08-07,Cardiff,Barnsley,1,1,D,0.0,0.0,D,10.0,10.0,6.0,3.0,7.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,2.33,1.61,D,D
Championship,2021-08-07,Blackburn,Swansea,2,1,L,1.0,0.0,H,21.0,7.0,10.0,4.0,11.0,10.0,7.0,5.0,4.0,2.0,0.0,0.0,2.25,1.65,W,L
Belgian Pro,2021-08-07,Mechelen,Eupen,1,3,W,1.0,0.0,H,15.0,16.0,4.0,4.0,6.0,11.0,7.0,3.0,0.0,2.0,0.0,0.0,1.62,2.26,L,W
Scottish Prem,2021-08-07,St Mirren,Hearts,1,2,W,0.0,1.0,A,10.0,11.0,3.0,4.0,11.0,11.0,4.0,0.0,1.0,2.0,1.0,0.0,2.13,1.7,L,W
Belgian Pro,2021-08-07,Kortrijk,Genk,1,2,W,1.0,0.0,H,8.0,17.0,3.0,6.0,7.0,5.0,4.0,4.0,1.0,3.0,0.0,0.0,1.71,2.13,L,W
Belgian Pro,2021-08-07,St Truiden,Waregem,1,3,W,0.0,0.0,D,11.0,11.0,1.0,7.0,12.0,12.0,8.0,3.0,1.0,2.0,0.0,0.0,1.78,2.02,L,W
Championship,2021-08-07,Derby,Huddersfield,1,1,D,1.0,1.0,D,11.0,17.0,3.0,6.0,17.0,15.0,4.0,6.0,3.0,2.0,0.0,0.0,2.09,1.74,D,D
Belgian Pro,2021-08-07,Beerschot VA,St. Gilloise,0,3,W,0.0,1.0,A,8.0,15.0,2.0,6.0,12.0,12.0,9.0,3.0,2.0,3.0,0.0,0.0,1.8,2.0,L,W
Scottish Prem,2021-08-07,Dundee United,Rangers,1,0,L,0.0,0.0,D,9.0,14.0,2.0,2.0,11.0,8.0,5.0,8.0,4.0,1.0,0.0,0.0,1.65,2.2,W,L
Championship,2021-08-07,Luton,Peterboro,3,0,L,1.0,0.0,H,12.0,4.0,6.0,1.0,18.0,7.0,7.0,2.0,1.0,5.0,0.0,0.0,2.01,1.81,W,L
League Two,2021-08-07,Forest Green,Sutton,2,1,L,1.0,0.0,H,12.0,9.0,2.0,2.0,11.0,12.0,4.0,6.0,3.0,0.0,0.0,0.0,1.87,1.92,W,L
Championship,2021-08-07,QPR,Millwall,1,1,D,1.0,1.0,D,11.0,10.0,4.0,3.0,11.0,18.0,7.0,5.0,0.0,3.0,0.0,0.0,2.22,1.66,D,D
Championship,2021-08-07,Preston,Hull,1,4,W,1.0,1.0,D,7.0,16.0,4.0,5.0,9.0,6.0,2.0,7.0,2.0,2.0,0.0,0.0,2.03,1.79,L,W
League Two,2021-08-07,Salford,Leyton Orient,1,1,D,1.0,1.0,D,13.0,11.0,6.0,5.0,11.0,11.0,7.0,5.0,1.0,1.0,0.0,0.0,2.16,1.68,D,D
League Two,2021-08-07,Oldham,Newport County,0,1,W,0.0,0.0,D,6.0,3.0,0.0,2.0,17.0,7.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,1.8,L,W
League Two,2021-08-07,Northampton,Port Vale,1,0,L,1.0,0.0,H,8.0,9.0,2.0,2.0,11.0,16.0,4.0,2.0,4.0,2.0,0.0,1.0,2.11,1.71,W,L
League Two,2021-08-07,Mansfield,Bristol Rvs,2,1,L,1.0,0.0,H,17.0,3.0,3.0,2.0,14.0,15.0,6.0,4.0,2.0,2.0,0.0,1.0,2.18,1.68,W,L
League Two,2021-08-07,Hartlepool,Crawley Town,1,0,L,0.0,0.0,D,12.0,3.0,3.0,0.0,6.0,15.0,4.0,3.0,0.0,0.0,0.0,0.0,2.11,1.71,W,L
League Two,2021-08-07,Harrogate,Rochdale,3,2,L,2.0,1.0,H,17.0,14.0,8.0,5.0,12.0,16.0,9.0,4.0,1.0,2.0,0.0,0.0,2.04,1.76,W,L
League Two,2021-08-07,Exeter,Bradford,0,0,D,0.0,0.0,D,12.0,14.0,4.0,4.0,8.0,7.0,5.0,5.0,2.0,0.0,0.0,0.0,2.15,1.68,D,D
League Two,2021-08-07,Carlisle,Colchester,0,0,D,0.0,0.0,D,18.0,10.0,6.0,3.0,17.0,14.0,7.0,8.0,2.0,0.0,0.0,0.0,2.1,1.71,D,D
League One,2021-08-07,Charlton,Sheffield Weds,0,0,D,0.0,0.0,D,11.0,6.0,0.0,1.0,16.0,14.0,9.0,6.0,1.0,3.0,0.0,0.0,2.17,1.67,D,D
League One,2021-08-07,Wycombe,Accrington,2,1,L,2.0,0.0,H,17.0,8.0,4.0,3.0,14.0,14.0,6.0,3.0,0.0,1.0,0.0,0.0,1.97,1.81,W,L
League One,2021-08-07,Sunderland,Wigan,2,1,L,1.0,1.0,D,16.0,8.0,3.0,3.0,16.0,20.0,7.0,2.0,1.0,4.0,0.0,0.0,1.9,1.89,W,L
